Time	<x>	<p>	<xsq>	<psq>
0	0	0	0	0
1.00004	0	0	0	0
2.00008	0	0	0	0
3.00012	0	0	0	0
4.00016	0	0	0	0
5.0002	0	0	0	0
6.00024	0	0	0	0
7.00028	0	0	0	0
8.00032	0	0	0	0
9.00036	0	0	0	0
10.0004	0	0	0	0
11.0004	0	0	0	0
12.0005	0	0	0	0
13.0005	0	0	0	0
14.0006	0	0	0	0
15.0006	0	0	0	0
16.0006	0	0	0	0
17.0007	0	0	0	0
18.0007	0	0	0	0
19.0008	0	0	0	0
20.0008	0	0	0	0
21.0008	0	0	0	0
22.0009	0	0	0	0
23.0009	0	0	0	0
24.001	0	0	0	0
25.001	0	0	0	0
26.001	0	0	0	0
27.0011	0	0	0	0
28.0011	0	0	0	0
29.0012	0	0	0	0
30.0012	0	0	0	0
31.0012	0	0	0	0
32.0013	0	0	0	0
33.0013	0	0	0	0
34.0014	0	0	0	0
35.0014	0	0	0	0
36.0014	0	0	0	0
37.0015	0	0	0	0
38.0015	0	0	0	0
39.0016	0	0	0	0
40.0016	0	0	0	0
41.0016	0	0	0	0
42.0017	0	0	0	0
43.0017	0	0	0	0
44.0018	0	0	0	0
45.0018	0	0	0	0
46.0018	0	0	0	0
47.0019	0	0	0	0
48.0019	0	0	0	0
49.002	0	0	0	0
50.002	0	0	0	0
51.002	0	0	0	0
52.0021	0	0	0	0
53.0021	0	0	0	0
54.0022	0	0	0	0
55.0022	0	0	0	0
56.0022	0	0	0	0
57.0023	0	0	0	0
58.0023	0	0	0	0
59.0024	0	0	0	0
60.0024	0	0	0	0
61.0024	0	0	0	0
62.0025	0	0	0	0
63.0025	0	0	0	0
64.0026	0	0	0	0
65.0026	0	0	0	0
66.0026	0	0	0	0
67.0027	0	0	0	0
68.0027	0	0	0	0
69.0028	0	0	0	0
70.0028	0	0	0	0
71.0028	0	0	0	0
72.0029	0	0	0	0
73.0029	0	0	0	0
74.003	0	0	0	0
75.003	0	0	0	0
76.003	0	0	0	0
77.0031	0	0	0	0
78.0031	0	0	0	0
79.0032	0	0	0	0
80.0032	0	0	0	0
81.0032	0	0	0	0
82.0033	0	0	0	0
83.0033	0	0	0	0
84.0034	0	0	0	0
85.0034	0	0	0	0
86.0034	0	0	0	0
87.0035	0	0	0	0
88.0035	0	0	0	0
89.0036	0	0	0	0
90.0036	0	0	0	0
91.0036	0	0	0	0
92.0037	0	0	0	0
93.0037	0	0	0	0
94.0038	0	0	0	0
95.0038	0	0	0	0
