Time	x	p
0	-0.495835	-0.639571
1.00004	-0.516299	-0.724389
2.00008	-0.539298	-0.808555
3.00012	-0.564812	-0.891993
4.00016	-0.592818	-0.974629
5.0002	-0.62329	-1.05639
6.00024	-0.656201	-1.13719
7.00028	-0.691522	-1.21698
8.00032	-0.72922	-1.29567
9.00036	-0.769262	-1.37319
10.0004	-0.811611	-1.44948
11.0004	-0.85623	-1.52446
12.0005	-0.903079	-1.59807
13.0005	-0.952115	-1.67024
14.0006	-1.00329	-1.74091
15.0006	-1.05657	-1.81001
16.0006	-1.11189	-1.87749
17.0007	-1.16922	-1.94327
18.0007	-1.22849	-2.0073
19.0008	-1.28966	-2.06953
20.0008	-1.35266	-2.1299
21.0008	-1.41745	-2.18835
22.0009	-1.48396	-2.24482
23.0009	-1.55214	-2.29928
24.001	-1.62192	-2.35167
25.001	-1.69324	-2.40194
26.001	-1.76604	-2.45006
27.0011	-1.84024	-2.49596
28.0011	-1.91579	-2.53962
29.0012	-1.99262	-2.58099
30.0012	-2.07065	-2.62004
31.0012	-2.14982	-2.65674
32.0013	-2.23006	-2.69104
33.0013	-2.31129	-2.72292
34.0014	-2.39343	-2.75235
35.0014	-2.47643	-2.7793
36.0014	-2.56019	-2.80375
37.0015	-2.64465	-2.82568
38.0015	-2.72973	-2.84506
39.0016	-2.81536	-2.86189
40.0016	-2.90145	-2.87613
41.0016	-2.98792	-2.88779
42.0017	-3.07471	-2.89685
43.0017	-3.16174	-2.90331
44.0018	-3.24891	-2.90715
45.0018	-3.33616	-2.90837
46.0018	-3.42341	-2.90698
47.0019	-3.51058	-2.90297
48.0019	-3.59759	-2.89635
49.002	-3.68436	-2.88712
50.002	-3.77082	-2.87529
51.002	-3.85688	-2.86087
52.0021	-3.94247	-2.84388
53.0021	-4.02751	-2.82433
54.0022	-4.11193	-2.80224
55.0022	-4.19565	-2.77763
56.0022	-4.27859	-2.75051
57.0023	-4.36068	-2.72093
58.0023	-4.44184	-2.68889
59.0024	-4.52201	-2.65443
60.0024	-4.60111	-2.61758
61.0024	-4.67907	-2.57838
62.0025	-4.75581	-2.53686
63.0025	-4.83128	-2.49305
64.0026	-4.9054	-2.447
65.0026	-4.9781	-2.39875
66.0026	-5.04932	-2.34834
67.0027	-5.119	-2.29581
68.0027	-5.18707	-2.24122
69.0028	-5.25347	-2.18461
70.0028	-5.31815	-2.12604
71.0028	-5.38103	-2.06555
72.0029	-5.44208	-2.0032
73.0029	-5.50123	-1.93905
74.003	-5.55842	-1.87316
75.003	-5.61362	-1.80558
76.003	-5.66676	-1.73637
77.0031	-5.7178	-1.66561
78.0031	-5.76669	-1.59334
79.0032	-5.8134	-1.51964
80.0032	-5.85787	-1.44457
81.0032	-5.90007	-1.3682
82.0033	-5.93996	-1.2906
83.0033	-5.97751	-1.21184
84.0034	-6.01267	-1.13198
85.0034	-6.04543	-1.05111
86.0034	-6.07574	-0.969294
87.0035	-6.10359	-0.886604
88.0035	-6.12894	-0.803116
89.0036	-6.15177	-0.718905
90.0036	-6.17207	-0.634048
91.0036	-6.18982	-0.548619
92.0037	-6.20499	-0.462697
93.0037	-6.21758	-0.376359
94.0038	-6.22757	-0.289682
95.0038	-6.23496	-0.202744
96.0038	-6.23973	-0.115623
97.0039	-6.2419	-0.0283989
98.0039	-6.24144	0.0588511
99.004	-6.23836	0.146048
100.004	-6.23268	0.233114
101.004	-6.22438	0.31997
102.004	-6.21348	0.406537
103.004	-6.19999	0.492739
104.004	-6.18391	0.578498
105.004	-6.16528	0.663736
106.004	-6.14409	0.748376
107.004	-6.12037	0.832343
108.004	-6.09415	0.915561
109.004	-6.06544	0.997955
110.004	-6.03427	1.07945
111.004	-6.00067	1.15997
112.004	-5.96467	1.23945
113.005	-5.9263	1.31782
114.005	-5.8856	1.395
115.005	-5.8426	1.47092
116.005	-5.79735	1.54552
117.005	-5.74987	1.61873
118.005	-5.70022	1.69048
119.005	-5.64844	1.76071
120.005	-5.59458	1.82936
121.005	-5.53868	1.89635
122.005	-5.4808	1.96165
123.005	-5.42098	2.02517
124.005	-5.35929	2.08688
125.005	-5.29577	2.1467
126.005	-5.23049	2.2046
127.005	-5.1635	2.26051
128.005	-5.09486	2.31438
129.005	-5.02463	2.36617
130.005	-4.95289	2.41584
131.005	-4.87968	2.46333
132.005	-4.80509	2.5086
133.005	-4.72917	2.55161
134.005	-4.65199	2.59233
135.005	-4.57363	2.63071
136.005	-4.49415	2.66673
137.005	-4.41362	2.70035
138.006	-4.33213	2.73153
139.006	-4.24973	2.76026
140.006	-4.16651	2.7865
141.006	-4.08254	2.81024
142.006	-3.9979	2.83145
143.006	-3.91265	2.8501
144.006	-3.82689	2.8662
145.006	-3.74068	2.87971
146.006	-3.65411	2.89063
147.006	-3.56724	2.89895
148.006	-3.48017	2.90467
149.006	-3.39296	2.90776
150.006	-3.30571	2.90824
151.006	-3.21847	2.9061
152.006	-3.13134	2.90135
153.006	-3.04439	2.89399
154.006	-2.9577	2.88402
155.006	-2.87135	2.87145
156.006	-2.78541	2.85631
157.006	-2.69997	2.83859
158.006	-2.6151	2.81831
159.006	-2.53087	2.7955
160.006	-2.44737	2.77018
161.006	-2.36466	2.74236
162.006	-2.28283	2.71207
163.007	-2.20194	2.67934
164.007	-2.12207	2.6442
165.007	-2.04328	2.60668
166.007	-1.96566	2.56681
167.007	-1.88928	2.52464
168.007	-1.81419	2.48019
169.007	-1.74046	2.43351
170.007	-1.66818	2.38464
171.007	-1.59739	2.33362
172.007	-1.52816	2.28051
173.007	-1.46055	2.22534
174.007	-1.39464	2.16817
175.007	-1.33047	2.10904
176.007	-1.2681	2.04802
177.007	-1.20758	1.98516
178.007	-1.14899	1.9205
179.007	-1.09235	1.85412
180.007	-1.03774	1.78608
